id,sex_cat_sen,age_sen,race_cat_sen,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree_cat,went_to_jail_cat,days_jail,predict_feat,age_sen_cat
10698,Male,24,African-American,0,0,3,0,F,True,0,0,18_to_25
4464,Male,37,African-American,0,0,0,3,M,False,2,0,25_to_45
5262,Female,48,Caucasian,0,0,0,2,F,False,33,0,45_to_65
6866,Female,23,African-American,0,1,0,1,M,False,0,0,18_to_25
7242,Female,22,African-American,0,0,0,0,M,False,2,0,18_to_25
8727,Male,44,Caucasian,0,0,0,4,F,False,0,0,25_to_45
3315,Male,62,Caucasian,0,0,0,0,M,False,3,0,45_to_65
2161,Male,29,Caucasian,0,0,0,0,M,False,1,0,25_to_45
2176,Male,42,Caucasian,0,0,0,1,M,True,1,0,25_to_45
2485,Female,31,African-American,0,0,0,2,F,False,2,0,25_to_45
6119,Female,25,African-American,0,0,0,5,M,False,0,1,25_to_45
574,Male,24,Caucasian,0,0,0,1,M,False,37,0,18_to_25
10180,Female,44,Caucasian,0,0,0,1,M,False,31,0,25_to_45
9924,Male,29,Caucasian,0,0,0,0,F,True,1,0,25_to_45
4257,Male,30,African-American,0,0,0,4,M,True,2,0,25_to_45
6173,Male,70,African-American,0,0,0,0,M,False,2,0,65_and_over
2586,Male,40,Caucasian,0,0,0,1,F,False,22,0,25_to_45
3404,Male,52,African-American,0,0,0,2,F,False,4,0,45_to_65
6808,Male,32,Other,0,0,0,0,F,False,2,0,25_to_45
7618,Male,32,Other,0,0,0,0,F,False,1,0,25_to_45
6055,Female,23,African-American,0,0,0,0,F,True,1,0,18_to_25
4078,Male,47,Hispanic,0,0,0,0,M,False,4,0,45_to_65
617,Male,60,Other,0,0,0,4,F,False,2,0,45_to_65
3917,Male,22,African-American,0,0,1,0,F,False,0,0,18_to_25
8887,Female,27,Other,0,0,0,5,F,True,2,0,25_to_45
5348,Female,35,African-American,0,0,0,0,M,False,3,0,25_to_45
884,Male,66,Caucasian,0,0,0,0,M,False,1,0,65_and_over
732,Male,29,Hispanic,0,0,0,2,M,False,1,0,25_to_45
6837,Male,51,Caucasian,0,0,0,3,M,False,1,0,45_to_65
4448,Male,35,African-American,0,0,0,0,F,False,2,0,25_to_45
8396,Male,27,African-American,0,0,0,7,F,True,35,1,25_to_45
10843,Male,24,Hispanic,0,0,0,0,M,False,1,0,18_to_25
2072,Female,66,Caucasian,0,0,0,1,M,False,29,0,65_and_over
3261,Female,49,Caucasian,0,0,0,1,F,False,2,0,45_to_65
1238,Female,32,Caucasian,0,0,0,1,M,True,1,0,25_to_45
7897,Female,24,Caucasian,0,0,0,0,M,True,1,0,18_to_25
4184,Male,30,Caucasian,0,0,0,19,F,True,83,1,25_to_45
8653,Male,59,Hispanic,0,0,0,0,F,False,2,0,45_to_65
3578,Male,39,Hispanic,0,0,0,2,F,True,105,0,25_to_45
2402,Male,46,African-American,0,0,1,15,F,True,7,0,45_to_65
8077,Male,26,African-American,0,0,0,2,F,False,0,0,25_to_45
6762,Male,20,Caucasian,0,0,0,0,M,True,0,0,18_to_25
6852,Male,27,Other,0,0,0,0,F,False,55,0,25_to_45
576,Male,26,African-American,1,1,0,6,F,True,2,1,25_to_45
2044,Male,33,Other,0,0,0,0,M,False,1,0,25_to_45
9687,Male,44,African-American,0,0,0,2,M,False,6,0,25_to_45
1094,Male,25,Caucasian,0,0,0,0,F,True,1,0,25_to_45
9871,Male,39,Caucasian,0,0,0,2,F,False,65,0,25_to_45
9827,Male,27,Caucasian,0,0,0,0,F,False,44,0,25_to_45
7484,Female,30,African-American,0,0,0,8,F,True,46,0,25_to_45
10873,Female,28,African-American,0,0,0,6,M,True,3,0,25_to_45
2089,Male,29,African-American,0,0,0,0,F,False,1,0,25_to_45
1840,Female,54,Caucasian,0,0,0,12,F,False,171,0,45_to_65
8203,Male,27,African-American,0,0,1,2,F,True,40,1,25_to_45
5308,Male,36,Other,0,0,0,8,M,False,2,0,25_to_45
6652,Male,25,African-American,0,0,0,4,F,False,1,1,25_to_45
9556,Male,30,Hispanic,0,0,0,1,F,False,18,0,25_to_45
4300,Male,53,Caucasian,0,0,0,1,F,False,22,0,45_to_65
10165,Male,28,African-American,0,0,0,5,F,True,4,0,25_to_45
2078,Male,43,Caucasian,0,0,0,4,F,False,3,0,25_to_45
3807,Female,31,Caucasian,0,0,0,1,M,False,11,0,25_to_45
1985,Male,65,Caucasian,0,0,0,2,M,False,5,0,65_and_over
2486,Female,33,Caucasian,0,0,0,7,M,False,1,0,25_to_45
143,Male,71,African-American,0,0,0,12,M,False,0,0,65_and_over
1639,Male,38,Hispanic,0,0,0,0,F,False,2,0,25_to_45
6560,Female,54,African-American,0,0,0,6,F,False,2,0,45_to_65
638,Male,28,African-American,0,0,0,8,F,False,4,0,25_to_45
9323,Male,23,Caucasian,0,1,0,4,M,True,3,1,18_to_25
294,Male,34,African-American,0,0,0,2,M,True,26,0,25_to_45
5382,Male,30,Other,0,0,0,0,F,False,1,0,25_to_45
3649,Male,26,African-American,0,0,0,4,F,True,1,1,25_to_45
944,Male,28,African-American,0,0,0,10,F,False,1,0,25_to_45
1499,Male,29,African-American,0,0,0,6,F,True,40,1,25_to_45
7535,Male,37,African-American,0,0,0,1,F,False,0,0,25_to_45
6312,Male,38,African-American,0,0,0,9,F,True,2,0,25_to_45
5552,Male,51,African-American,0,0,0,22,F,True,35,1,45_to_65
5477,Male,34,Caucasian,0,0,0,0,F,False,1,0,25_to_45
3154,Male,33,Other,0,0,0,3,F,False,1,0,25_to_45
6319,Male,23,African-American,0,0,0,2,M,False,8,1,18_to_25
4004,Female,27,African-American,0,0,0,1,F,False,45,0,25_to_45
6912,Female,61,African-American,0,0,0,1,F,False,52,0,45_to_65
7420,Male,29,Caucasian,0,0,0,0,F,True,2,0,25_to_45
8426,Male,55,Caucasian,0,0,0,0,F,False,1,0,45_to_65
10130,Female,48,African-American,0,0,0,1,F,False,1,0,45_to_65
1994,Male,29,Caucasian,0,0,0,7,M,True,2,1,25_to_45
4233,Male,39,African-American,0,0,0,2,M,False,48,0,25_to_45
7631,Male,22,Caucasian,0,0,0,0,F,True,1,0,18_to_25
6216,Male,22,African-American,0,0,0,0,F,True,1,0,18_to_25
9072,Male,37,African-American,0,0,0,4,M,True,76,0,25_to_45
2962,Male,40,African-American,0,0,0,1,M,False,2,0,25_to_45
9635,Female,38,Caucasian,0,0,0,0,F,False,3,0,25_to_45
5160,Male,36,African-American,0,0,0,11,F,True,1,0,25_to_45
2385,Female,20,African-American,0,0,3,2,F,True,24,1,18_to_25
10886,Female,39,African-American,0,0,0,1,F,True,3,0,25_to_45
7987,Male,29,Caucasian,4,1,0,10,F,False,3,1,25_to_45
1646,Male,47,Hispanic,0,0,0,0,M,False,2,0,45_to_65
3512,Male,26,African-American,0,0,0,5,F,False,7,0,25_to_45
7218,Male,31,African-American,0,0,0,0,M,False,0,0,25_to_45
4426,Female,43,Caucasian,0,0,0,0,M,False,1,0,25_to_45
6172,Male,34,Caucasian,0,0,0,2,F,False,1,0,25_to_45
9040,Male,34,African-American,0,0,0,3,F,False,2,0,25_to_45
10934,Male,41,Caucasian,0,0,0,0,M,False,1,0,25_to_45
3129,Male,56,African-American,0,0,0,1,F,False,1,0,45_to_65
4357,Male,37,African-American,0,0,0,1,M,False,1,0,25_to_45
3747,Male,37,Caucasian,0,0,0,1,M,False,2,0,25_to_45
8299,Male,27,African-American,0,0,0,2,F,False,4,0,25_to_45
769,Male,27,Caucasian,0,0,0,2,F,False,1,0,25_to_45
4367,Female,35,African-American,0,0,0,3,M,True,1,0,25_to_45
6901,Female,23,African-American,0,0,0,0,F,False,1,0,18_to_25
10636,Male,21,Caucasian,0,0,0,0,M,False,2,0,18_to_25
7495,Male,49,Caucasian,0,0,0,4,M,False,5,1,45_to_65
3966,Male,59,African-American,0,0,0,14,F,True,34,1,45_to_65
3492,Male,23,African-American,0,0,0,3,F,False,2,0,18_to_25
8053,Male,21,African-American,0,0,0,2,F,True,29,0,18_to_25
3358,Male,40,African-American,0,0,0,1,F,False,2,0,25_to_45
7348,Male,38,African-American,0,0,0,0,M,False,2,0,25_to_45
850,Male,21,African-American,0,2,0,3,F,True,0,0,18_to_25
1056,Male,47,Caucasian,0,0,0,2,F,True,3,0,45_to_65
3464,Male,24,Caucasian,0,0,1,1,F,True,22,0,18_to_25
4212,Male,22,Native American,0,0,2,0,M,False,0,0,18_to_25
87,Male,35,African-American,0,0,0,5,F,False,1,0,25_to_45
1209,Male,20,Caucasian,0,0,2,0,F,False,2,0,18_to_25
4409,Male,32,Caucasian,1,0,0,11,F,True,315,1,25_to_45
5364,Female,27,Caucasian,0,0,0,0,M,False,1,0,25_to_45
6451,Male,29,African-American,0,0,0,12,F,True,1,0,25_to_45
3897,Male,30,Caucasian,0,0,0,0,F,False,1,0,25_to_45
5332,Male,39,Caucasian,0,0,0,5,F,False,19,0,25_to_45
414,Female,25,Other,0,0,0,0,F,False,1,0,25_to_45
6497,Male,29,African-American,0,0,0,7,M,True,1,1,25_to_45
1774,Male,23,Caucasian,0,1,0,1,M,False,1,0,18_to_25
7499,Male,44,Caucasian,0,0,0,1,M,True,2,0,25_to_45
2917,Male,26,Caucasian,0,0,1,3,M,False,3,0,25_to_45
282,Male,45,Caucasian,0,0,0,8,M,False,72,0,45_to_65
6773,Female,28,Caucasian,0,0,0,0,M,False,1,0,25_to_45
9959,Female,22,African-American,0,0,0,0,M,False,2,0,18_to_25
2681,Male,43,African-American,0,0,0,1,F,False,2,0,25_to_45
7216,Male,32,African-American,0,1,3,7,F,True,1,1,25_to_45
10120,Female,29,Other,0,0,0,2,M,False,0,0,25_to_45
1282,Male,21,African-American,0,0,1,1,F,False,3,1,18_to_25
10490,Male,27,Caucasian,0,0,0,0,F,True,1,0,25_to_45
6247,Male,42,African-American,0,0,0,17,M,True,52,0,25_to_45
5502,Male,24,African-American,0,0,0,1,F,True,1,0,18_to_25
6834,Male,37,Hispanic,0,0,0,1,F,False,3,0,25_to_45
3698,Male,49,Caucasian,0,0,0,0,F,False,74,0,45_to_65
8652,Male,30,African-American,0,0,0,1,F,False,1,0,25_to_45
1020,Male,54,Other,0,0,0,0,F,False,0,0,45_to_65
4661,Male,43,African-American,0,0,0,8,M,False,2,0,25_to_45
4199,Male,22,Caucasian,1,0,0,2,F,False,2,0,18_to_25
8138,Male,56,African-American,0,0,0,1,F,False,9,0,45_to_65
1152,Female,23,Other,0,0,0,0,M,False,2,1,18_to_25
10281,Female,63,Caucasian,0,0,0,0,M,False,1,0,45_to_65
9735,Male,49,Hispanic,0,0,0,2,M,False,41,0,45_to_65
1881,Female,42,African-American,0,0,0,0,M,True,3,0,25_to_45
8672,Female,26,African-American,0,0,0,1,F,False,2,0,25_to_45
10548,Male,51,Caucasian,0,0,0,1,F,False,0,0,45_to_65
9578,Male,26,African-American,0,0,0,5,M,False,324,0,25_to_45
2153,Male,22,African-American,0,0,0,3,F,True,27,1,18_to_25
10452,Female,44,African-American,0,0,0,0,F,False,1,0,25_to_45
6067,Male,29,African-American,0,0,0,6,M,True,1,0,25_to_45
